"table","column"
"products_~_variants-mps","inventory_quantity"
"products_~_variants-mps","price"
"products_~_variants-mps","product_id"
"products_~_variants-mps","sku"
"products_~_variants-mps","title"
"products_~_variants-mps","position"
"products_~_variants-mps","updated_at"
"products_~_variants-mps","option1"
"products_~_variants-mps","option2"
"products_~_variants-mps","option3"
"Stitch Uploaded Table","Variant ID"
"Stitch Uploaded Table","SKU"
"Stitch Uploaded Table","Description"
"Stitch Uploaded Table","Weight"
"Stitch Uploaded Table","Average Unit Cost"
"Stitch Uploaded Table","Supplier ID"
"Stitch Uploaded Table","Default Supplier Cost"
"Stitch Uploaded Table","Location"
"Stitch Uploaded Table","Low Stock Alert"
"Stitch Uploaded Table","Stock"
"Stitch Uploaded Table","Available"
"Stitch Uploaded Table","Stock - My Default Warehouse"
"Stitch Uploaded Table","Available - My Default Warehouse"
"Stitch Uploaded Table","Price: Retail"
"Stitch Uploaded Table","Price: Wholesale"
"Stitch Uploaded Table","Price: Distribution"
"Stitch Uploaded Table","Price: Madison Plus Select2"
"Stitch Uploaded Table","Price: Madison Plus Select"
"SKU_to_SupplierCost","SKU"
"SKU_to_SupplierCost","Default Supplier Cost"
"products_~_variants-hg","_id_of_parent"
"products_~_variants-hg","_sub_id"
"products_~_variants-hg","compare_at_price"
"products_~_variants-hg","created_at"
"products_~_variants-hg","inventory_management"
"products_~_variants-hg","inventory_policy"
"products_~_variants-hg","inventory_quantity"
"products_~_variants-hg","position"
"products_~_variants-hg","price"
"products_~_variants-hg","product_id"
"products_~_variants-hg","sku"
"products_~_variants-hg","title"
"products_~_variants-hg","updated_at"
"products_~_variants-hg","grams"
"products_~_variants-hg","id"
"products_~_variants-hg","barcode"
"products_~_variants-hg","option1"
"products_~_variants-hg","option2"
"products_~_variants-hg","option3"
"order_refunds_~_refund_line_items-mps","_id_of_parent"
"order_refunds_~_refund_line_items-mps","_sub_id"
"order_refunds_~_refund_line_items-mps","line_item_id"
"order_refunds_~_refund_line_items-mps","line_item_~_name"
"order_refunds_~_refund_line_items-mps","line_item_~_price"
"order_refunds_~_refund_line_items-mps","line_item_~_quantity"
"order_refunds_~_refund_line_items-mps","line_item_~_sku"
"order_refunds_~_refund_line_items-mps","line_item_~_title"
"order_refunds_~_refund_line_items-mps","line_item_~_variant_id"
"order_refunds_~_refund_line_items-mps","line_item_~_variant_inventory_management"
"order_refunds_~_refund_line_items-mps","line_item_~_variant_title"
"order_refunds_~_refund_line_items-mps","line_item_~_vendor"
"order_refunds_~_refund_line_items-mps","quantity"
"order_refunds_~_refund_line_items-mps","id"
"order_refunds_~_refund_line_items-mps","line_item_~_product_id"
"products_~_keys","_id_of_parent"
"products_~_keys","_sub_id"
"products_~_keys","_value"
"orders_~_discount_codes-consolidated","Table ID Column"
"orders_~_discount_codes-consolidated","Source Table Index"
"orders_~_discount_codes-consolidated","_id_of_parent     [pk]"
